Long,Lat,Op,FlightsCount,PosDateTime,Id,Icao,Source,Target
87.66581,55.216599,China Southern Airlines,0.0,2020-01-01 11:14:04.396,7866120.0,780708,ZHHH,EGLL
114.66543,32.01328,China Southern Airlines,9.0,2020-01-01 11:50:32.678,7865836.0,7805EC,ZHHH,ZBAA
113.89416999999999,30.7565,China Eastern Airlines,7.0,2020-01-01 11:50:33.741,7867564.0,780CAC,ZHHH,ZJHK
114.53191000000001,34.11209,Air China,0.0,2020-01-01 11:50:32.676,7865599.0,7804FF,ZHHH,ZBAA
114.66122,32.06653,China Southern Airlines,0.0,2020-01-01 11:51:02.876,7865836.0,7805EC,ZHHH,ZBAA
113.85396000000001,30.71695,China Eastern Airlines,0.0,2020-01-01 11:51:02.872,7867564.0,780CAC,ZHHH,ZJHK
140.21713300000002,34.493858,Spring Airlines Japan,0.0,2020-01-01 09:57:23.842,8653999.0,840CAF,ZHHH,RJAA
115.78838999999999,40.039629999999995,Air China,9.0,2020-01-01 09:57:03.975,7866241.0,780781,ZHHH,ZBAA
115.78838999999999,40.039629999999995,Air China,0.0,2020-01-01 09:57:02.423,7866241.0,780781,ZHHH,ZBAA
140.227325,34.499168,Spring Airlines Japan,0.0,2020-01-01 09:57:27.617,8653999.0,840CAF,ZHHH,RJAA
137.71418799999998,36.808777,Air China,0.0,2020-01-01 09:57:26.493,7865422.0,78044E,ZHHH,RJAA
-149.726879,61.063477,China Southern Airlines,0.0,2020-01-01 01:14:21.050,7867910.0,780E06,ZHHH,ZGGG
117.69616,31.697340000000004,China Eastern Airlines,11.0,2020-01-01 01:14:04.344,7869665.0,7814E1,ZHHH,ZSSS
107.32882,26.52882,China Southern Airlines,7.0,2020-01-01 01:14:04.326,7867820.0,780DAC,ZHHH,ZSPD
113.98563,30.45978,China Southern Airlines,0.0,2020-01-01 01:13:32.974,7868358.0,780FC6,ZHHH,ZYCC
117.69616,31.697340000000004,China Eastern Airlines,0.0,2020-01-01 01:14:03.168,7869665.0,7814E1,ZHHH,ZSSS
107.32882,26.52882,China Southern Airlines,0.0,2020-01-01 01:14:03.225,7867820.0,780DAC,ZHHH,ZSPD
114.62231000000001,35.062870000000004,Air China,10.0,2020-01-01 09:12:03.965,7869831.0,781587,ZHHH,ZYCC
114.62231000000001,35.062870000000004,Air China,0.0,2020-01-01 09:12:03.354,7869831.0,781587,ZHHH,ZYCC
